,user,text,favorite_count,retweet_count,created_at
151,elonmusk,"@chicago_glenn Only 64 squares, no fog of war, no tech tree, only a few different pieces,no random spawn. Chess is a simple game. I prefer Polytopia.",2221,149,2022-09-08 04:12:43+00:00
152,elonmusk,@Techmeme @pkafka Interesting …,41344,2029,2022-09-08 02:37:20+00:00
153,elonmusk,“That’s not punny!”,77632,4949,2022-09-07 04:19:58+00:00
154,elonmusk,@WholeMarsBlog More solar + batteries needed. Batteries are great at dealing with peak demand.,22306,1408,2022-09-06 21:42:36+00:00
155,elonmusk,@kerrikgray @lexfridman 👍,2286,71,2022-09-06 17:36:37+00:00
156,elonmusk,"@lexfridman I accept 99% of cookies, but 💯 if choc chip",70402,2834,2022-09-06 17:23:30+00:00
157,elonmusk,"@garyblack00 If Twitter put as much effort into bot/spam removal as they do into subpoenas, we wouldn’t have this problem in the first place!",10573,1015,2022-09-06 16:54:59+00:00
158,elonmusk,@cb_doge @musicphantom69 🤣,4047,128,2022-09-06 16:49:59+00:00
159,elonmusk,"@garyblack00 We have advised all potential witnesses to provide full cooperation to the court, but we do not control their actions",3334,174,2022-09-06 16:47:44+00:00
160,elonmusk,@garyblack00 Read the actual ruling. We had zero to do with David Sack’s response. Zero.,4349,224,2022-09-06 16:45:33+00:00
161,elonmusk,@musicphantom69 Those who claim any criticism of Rings of Power means you’re racist are outing themselves as closet racists,12630,1389,2022-09-06 15:50:29+00:00
162,elonmusk,@joshcarlosjosh Peter Jackson did excellent work with Lord of the Rings. The Hobbit was stretched too long for a short book.,2414,125,2022-09-06 13:16:06+00:00
163,elonmusk,"@SawyerMerritt @Tesla For now, supply is too low, but ordering a Powerwall by itself should be possible end of year",5652,363,2022-09-06 00:44:39+00:00
164,elonmusk,@Teslarati @JohnnaCrider1 Cool,9340,381,2022-09-05 23:54:39+00:00
165,elonmusk,Order a Tesla Powerwall battery for blackout protection! https://t.co/tEE4LDBD78,47130,4870,2022-09-05 23:50:46+00:00
